request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_48,45700,not_affordable,not_recommended,none,2026-07-25,none,INR 45700: no eligible plan certified by 2026-08-24 while protecting minimum 71300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_49,0.00,not_affordable,not_recommended,none,,none,IDR 34333000: no eligible plan certified by 2024-05-22 while protecting minimum 20275700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_50,37807.62,not_affordable,not_recommended,none,2025-10-15,none,INR 43900: no eligible plan certified by 2025-08-21 while protecting minimum 99700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,IDR 2191000 via full_payment; payments finish 2026-01-03; minimum 7811000 protected over 90 days.
request_52,0.00,not_affordable,not_recommended,none,,none,INR 28870: no eligible plan certified by 2024-07-09 while protecting minimum 41500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_53,441.00,not_affordable,not_recommended,none,2026-01-15,none,USD 1699.2: no eligible plan certified by 2026-01-20 while protecting minimum 2100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_54,1712.17,not_affordable,not_recommended,none,,none,ZAR 121528: no eligible plan certified by 2026-08-21 while protecting minimum 37000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_55,113736.50,not_affordable,not_recommended,none,2026-08-15,none,INR 218600: no eligible plan certified by 2026-08-22 while protecting minimum 124300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_56,517.28,affordable_with_plan,partial_payment,2025-02-03:517.28|2025-02-15:364.28,2025-02-15,none,USD 881.56 via partial_payment; payments finish 2025-02-15; minimum 2100 protected over 90 days.
request_57,10663.04,affordable_later,wait,2026-06-15:61446,2026-06-15,none,ZAR 61446 via wait; payments finish 2026-06-15; minimum 42700 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_58,12871696.74,not_affordable,not_recommended,none,,none,IDR 16226000: no eligible plan certified by 2025-01-25 while protecting minimum 14433900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_59,133993.15,not_affordable,not_recommended,none,,none,INR 140600: no eligible plan certified by 2025-07-02 while protecting minimum 132600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_60,0.00,not_affordable,not_recommended,none,,none,USD 199.89: no eligible plan certified by 2026-03-04 while protecting minimum 400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_61,29062,not_affordable,not_recommended,none,2024-03-03,none,ZAR 29062: no eligible plan certified by 2024-05-24 while protecting minimum 36700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_62,0.00,not_affordable,not_recommended,none,,none,USD 404.23: no eligible plan certified by 2025-10-09 while protecting minimum 1300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_63,36085.70,not_affordable,not_recommended,none,,none,INR 343900: no eligible plan certified by 2026-09-17 while protecting minimum 153500 over 90 days.
request_64,40048.60,not_affordable,not_recommended,none,2024-08-15,none,INR 63700: no eligible plan certified by 2024-08-16 while protecting minimum 36100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_65,5402.04,not_affordable,not_recommended,none,,none,ZAR 54340: no eligible plan certified by 2025-11-25 while protecting minimum 15500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,INR 22200 via full_payment; payments finish 2026-04-03; minimum 80700 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_67,342.94,affordable_later,wait,2024-11-15:2094,2024-11-15,none,USD 2094 via wait; payments finish 2024-11-15; minimum 1200 protected over 90 days.
request_68,0.00,not_affordable,not_recommended,none,,none,USD 2091.6: no eligible plan certified by 2025-04-16 while protecting minimum 1500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_69,499.35,not_affordable,not_recommended,none,2026-01-15,none,EUR 529.1: no eligible plan certified by 2026-01-14 while protecting minimum 700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_70,46807.51,affordable_later,wait,2025-02-15:243900,2025-02-15,none,INR 243900 via wait; payments finish 2025-02-15; minimum 115000 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_71,135859.61,not_affordable,not_recommended,none,,none,IDR 21451000: no eligible plan certified by 2025-05-28 while protecting minimum 8884800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_72,0.00,not_affordable,not_recommended,none,,none,ZAR 11330: no eligible plan certified by 2026-07-14 while protecting minimum 12200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_73,71400,not_affordable,not_recommended,none,2023-01-20,none,INR 71400: no eligible plan certified by 2023-02-13 while protecting minimum 103200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,ZAR 5010 via full_payment; payments finish 2025-08-04; minimum 21900 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_75,9429.01,not_affordable,not_recommended,none,,none,ZAR 28270: no eligible plan certified by 2026-06-12 while protecting minimum 39000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_76,102.20,not_affordable,not_recommended,none,,none,USD 4455.6: no eligible plan certified by 2024-07-30 while protecting minimum 1800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_77,56747.00,not_affordable,not_recommended,none,2025-11-15,none,INR 60700: no eligible plan certified by 2025-11-14 while protecting minimum 82200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_78,39962.22,not_affordable,not_recommended,none,2025-11-15,none,INR 50200: no eligible plan certified by 2025-10-14 while protecting minimum 55200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_79,233.87,not_affordable,not_recommended,none,,none,EUR 2151.6: no eligible plan certified by 2024-11-01 while protecting minimum 1000 over 90 days.
request_80,0.00,not_affordable,not_recommended,none,,none,INR 217500: no eligible plan certified by 2025-02-21 while protecting minimum 121300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_81,2029.38,not_affordable,not_recommended,none,2026-07-15,none,USD 2076: no eligible plan certified by 2026-07-14 while protecting minimum 1600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_82,289.64,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,USD 1405.2 via wait; payments finish 2025-02-15; minimum 1100 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_83,0.00,not_affordable,not_recommended,none,,none,INR 156200: no eligible plan certified by 2025-06-17 while protecting minimum 37800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_84,16085.14,not_affordable,not_recommended,none,2026-06-15,none,INR 95400: no eligible plan certified by 2026-06-15 while protecting minimum 91300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_85,0.00,not_affordable,not_recommended,none,,none,IDR 19304000: no eligible plan certified by 2024-04-26 while protecting minimum 6396300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_86,41353.57,not_affordable,not_recommended,none,2025-08-23,none,INR 46300: no eligible plan certified by 2025-08-22 while protecting minimum 84900 over 90 days.
request_87,0.00,not_affordable,not_recommended,none,,none,INR 487900: no eligible plan certified by 2026-03-15 while protecting minimum 185900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_88,10124.51,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,ZAR 26092 via installments; payments finish 2024-08-15; minimum 25800 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_89,8515549.99,not_affordable,not_recommended,none,2026-01-15,none,IDR 13756000: no eligible plan certified by 2026-01-15 while protecting minimum 12534700 over 90 days.
request_90,0.00,not_affordable,not_recommended,none,,none,ZAR 2560: no eligible plan certified by 2026-09-23 while protecting minimum 7600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_91,331.92,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,EUR 1927.2 via wait; payments finish 2024-11-15; minimum 2100 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,ZAR 34034 via full_payment; payments finish 2025-02-05; minimum 28100 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,USD 1729.2 via full_payment; payments finish 2026-04-07; minimum 1900 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_94,116.07,not_affordable,not_recommended,none,,none,EUR 572: no eligible plan certified by 2024-12-22 while protecting minimum 600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_95,0.00,not_affordable,not_recommended,none,,none,INR 553000: no eligible plan certified by 2025-07-14 while protecting minimum 145500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_96,71312.60,not_affordable,not_recommended,none,2026-03-15,none,INR 90200: no eligible plan certified by 2026-03-12 while protecting minimum 56500 over 90 days.
request_97,651.67,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-15,none,ZAR 23496 via installments; payments finish 2024-05-20; minimum 29700 protected over 90 days.
request_98,4879.70,affordable_later,wait,2025-10-15:27148,2025-10-15,none,ZAR 27148 via wait; payments finish 2025-10-15; minimum 30000 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_99,16919.37,not_affordable,not_recommended,none,2026-07-15,none,ZAR 18062: no eligible plan certified by 2026-07-14 while protecting minimum 49100 over 90 days.
request_100,24248.42,not_affordable,not_recommended,none,2024-08-15,none,ZAR 37114: no eligible plan certified by 2024-08-16 while protecting minimum 32500 over 90 days.
request_101,140849.11,not_affordable,not_recommended,none,2025-11-15,none,INR 143500: no eligible plan certified by 2025-11-14 while protecting minimum 187400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_102,1256.18,not_affordable,not_recommended,none,,none,EUR 1716: no eligible plan certified by 2026-06-12 while protecting minimum 900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_103,0.00,not_affordable,not_recommended,none,,none,INR 368300: no eligible plan certified by 2024-10-07 while protecting minimum 125500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_104,5433.01,not_affordable,not_recommended,none,,none,ZAR 17204: no eligible plan certified by 2025-04-15 while protecting minimum 24700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_105,50032.94,not_affordable,not_recommended,none,2026-06-15,none,INR 53500: no eligible plan certified by 2026-06-14 while protecting minimum 73900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_106,0.00,not_affordable,not_recommended,none,,none,EUR 2207.7: no eligible plan certified by 2025-02-15 while protecting minimum 1200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_107,0.00,not_affordable,not_recommended,none,,none,EUR 2534.4: no eligible plan certified by 2025-07-04 while protecting minimum 1600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_108,2348.59,not_affordable,not_recommended,none,,none,ZAR 55308: no eligible plan certified by 2026-07-26 while protecting minimum 24100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_109,439.40,not_affordable,not_recommended,none,2024-05-15,none,EUR 1863.4: no eligible plan certified by 2024-05-26 while protecting minimum 1700 over 90 days.
request_110,16742.26,not_affordable,not_recommended,none,,none,ZAR 22352: no eligible plan certified by 2025-10-11 while protecting minimum 11200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_111,15530973.60,not_affordable,not_recommended,none,,none,IDR 16625000: no eligible plan certified by 2026-05-02 while protecting minimum 23022800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_112,0.00,not_affordable,not_recommended,none,,none,EUR 271.7: no eligible plan certified by 2024-06-14 while protecting minimum 500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_113,18096.87,not_affordable,not_recommended,none,2026-10-15,none,INR 36500: no eligible plan certified by 2026-10-19 while protecting minimum 82300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_114,0.00,not_affordable,not_recommended,none,,none,INR 65300: no eligible plan certified by 2026-01-14 while protecting minimum 113400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_115,13323.51,affordable_later,wait,2024-11-15:80500,2024-11-15,none,INR 80500 via wait; payments finish 2024-11-15; minimum 38800 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_116,6908.20,not_affordable,not_recommended,none,,none,INR 241200: no eligible plan certified by 2025-04-16 while protecting minimum 80300 over 90 days.
request_117,859.51,not_affordable,not_recommended,none,2026-07-15,none,EUR 880: no eligible plan certified by 2026-07-14 while protecting minimum 1000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_118,637.83,not_affordable,not_recommended,none,2025-02-15,none,EUR 738.1: no eligible plan certified by 2025-02-08 while protecting minimum 600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_119,0.00,not_affordable,not_recommended,none,,none,INR 203500: no eligible plan certified by 2025-07-17 while protecting minimum 151200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,IDR 7714000 via full_payment; payments finish 2026-04-06; minimum 20050300 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_121,619.88,not_affordable,not_recommended,none,2024-03-15,none,USD 633.6: no eligible plan certified by 2024-03-14 while protecting minimum 800 over 90 days.
request_122,16364343.74,not_affordable,not_recommended,none,,none,IDR 20558000: no eligible plan certified by 2025-10-02 while protecting minimum 12588500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_123,0.00,not_affordable,not_recommended,none,,none,IDR 4076000: no eligible plan certified by 2026-03-28 while protecting minimum 18091200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_124,1303.23,not_affordable,not_recommended,none,2024-08-15,none,EUR 3104.2: no eligible plan certified by 2024-08-20 while protecting minimum 1600 over 90 days.
request_125,5601.03,not_affordable,not_recommended,none,2025-11-15,none,ZAR 6468: no eligible plan certified by 2025-11-14 while protecting minimum 11300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_126,4447.47,not_affordable,not_recommended,none,,none,INR 159600: no eligible plan certified by 2026-07-17 while protecting minimum 129700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_127,0.00,not_affordable,not_recommended,none,,none,ZAR 23980: no eligible plan certified by 2024-10-18 while protecting minimum 41000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,ZAR 25168 via full_payment; payments finish 2025-02-07; minimum 42600 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_129,58.69,not_affordable,not_recommended,none,,none,USD 2668.8: no eligible plan certified by 2026-06-18 while protecting minimum 800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_130,0.00,not_affordable,not_recommended,none,,none,USD 1978.8: no eligible plan certified by 2025-02-15 while protecting minimum 1400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_131,0.00,not_affordable,not_recommended,none,,none,USD 1855.2: no eligible plan certified by 2025-07-08 while protecting minimum 1100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_132,0.00,not_affordable,not_recommended,none,,none,USD 379.86: no eligible plan certified by 2026-02-25 while protecting minimum 1100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_133,0.00,not_affordable,not_recommended,none,,none,IDR 15770000: no eligible plan certified by 2024-03-29 while protecting minimum 9986200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_134,4015001.95,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,IDR 21831000 via wait; payments finish 2025-10-15; minimum 15902500 protected over 90 days.
request_135,287.07,not_affordable,not_recommended,none,2026-07-15,none,USD 304.8: no eligible plan certified by 2026-07-14 while protecting minimum 500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_136,521.71,not_affordable,not_recommended,none,2024-06-15,none,USD 560.4: no eligible plan certified by 2024-06-14 while protecting minimum 1100 over 90 days.
request_137,20867.05,not_affordable,not_recommended,none,,none,INR 80100: no eligible plan certified by 2026-01-15 while protecting minimum 71800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_138,672.16,affordable_with_plan,partial_payment,2026-04-07:672.16|2026-04-15:584.78,2026-04-15,none,EUR 1256.94 via partial_payment; payments finish 2026-04-15; minimum 2300 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_139,1263.11,not_affordable,not_recommended,none,2024-11-15,none,USD 2316: no eligible plan certified by 2024-11-17 while protecting minimum 1500 over 90 days.
request_140,0.00,not_affordable,not_recommended,none,,none,ZAR 62832: no eligible plan certified by 2025-03-04 while protecting minimum 21600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_141,16158.10,not_affordable,not_recommended,none,,none,INR 171600: no eligible plan certified by 2026-02-12 while protecting minimum 67300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_142,508.81,not_affordable,not_recommended,none,,none,USD 1263.6: no eligible plan certified by 2025-02-04 while protecting minimum 1700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_143,2770.81,affordable_later,wait,2025-07-15:12584,2025-07-15,none,ZAR 12584 via wait; payments finish 2025-07-15; minimum 11300 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_144,0.00,not_affordable,not_recommended,none,,none,USD 233.34: no eligible plan certified by 2026-07-26 while protecting minimum 600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_145,18975.72,not_affordable,not_recommended,none,2024-05-15,none,INR 217400: no eligible plan certified by 2024-05-26 while protecting minimum 155400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_146,4867.71,not_affordable,not_recommended,none,,none,INR 449400: no eligible plan certified by 2025-10-17 while protecting minimum 108600 over 90 days.
request_147,0.00,not_affordable,not_recommended,none,,none,EUR 1129.7: no eligible plan certified by 2026-06-07 while protecting minimum 900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_148,6728.82,not_affordable,not_recommended,none,2024-08-15,none,ZAR 22242: no eligible plan certified by 2024-08-18 while protecting minimum 20000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_149,20776.13,not_affordable,not_recommended,none,2026-01-15,none,ZAR 36652: no eligible plan certified by 2026-01-19 while protecting minimum 42100 over 90 days.
request_150,0.00,not_affordable,not_recommended,none,,none,EUR 496.1: no eligible plan certified by 2026-03-16 while protecting minimum 700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_151,0.00,not_affordable,not_recommended,none,,none,IDR 26999000: no eligible plan certified by 2024-09-14 while protecting minimum 31633600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_152,10632.35,not_affordable,not_recommended,none,2025-04-15,none,ZAR 13882: no eligible plan certified by 2025-04-13 while protecting minimum 11900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_153,0.00,not_affordable,not_recommended,none,,none,USD 2830.8: no eligible plan certified by 2026-09-24 while protecting minimum 1400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_154,1528.09,not_affordable,not_recommended,none,2025-02-15,none,EUR 1625.8: no eligible plan certified by 2025-02-14 while protecting minimum 1300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_155,6088.36,not_affordable,not_recommended,none,,none,INR 112500: no eligible plan certified by 2025-05-20 while protecting minimum 56300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_156,6564.94,affordable_later,wait,2026-06-15:43076,2026-06-15,none,ZAR 43076 via wait; payments finish 2026-06-15; minimum 26900 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_157,0.00,not_affordable,not_recommended,none,,none,IDR 23503000: no eligible plan certified by 2024-05-15 while protecting minimum 15714100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_158,184975.83,not_affordable,not_recommended,none,,none,INR 242600: no eligible plan certified by 2025-10-02 while protecting minimum 131400 over 90 days.
request_159,0.00,not_affordable,not_recommended,none,,none,ZAR 13398: no eligible plan certified by 2026-03-20 while protecting minimum 8700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_160,0.00,not_affordable,not_recommended,none,,none,EUR 1246.3: no eligible plan certified by 2024-08-20 while protecting minimum 1200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_161,0.00,not_affordable,not_recommended,none,,none,IDR 21204000: no eligible plan certified by 2026-01-15 while protecting minimum 23010400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_162,1364448.06,not_affordable,not_recommended,none,,none,IDR 83923000: no eligible plan certified by 2026-08-26 while protecting minimum 24161100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_163,9744380.07,not_affordable,not_recommended,none,2024-11-15,none,IDR 19304000: no eligible plan certified by 2024-11-15 while protecting minimum 26728700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_164,27018000,not_affordable,not_recommended,none,2025-02-04,none,IDR 27018000: no eligible plan certified by 2025-04-15 while protecting minimum 29550500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_165,61350.73,not_affordable,not_recommended,none,,none,INR 80600: no eligible plan certified by 2026-04-21 while protecting minimum 95000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_166,2538.69,not_affordable,not_recommended,none,,none,USD 2907.6: no eligible plan certified by 2025-02-05 while protecting minimum 1700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_167,0.00,not_affordable,not_recommended,none,,none,ZAR 43802: no eligible plan certified by 2025-05-31 while protecting minimum 31200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_168,0.00,not_affordable,not_recommended,none,,none,INR 49380: no eligible plan certified by 2026-03-16 while protecting minimum 114400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,ZAR 41976 via full_payment; payments finish 2024-03-04; minimum 18700 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_170,29825426.01,not_affordable,not_recommended,none,2025-09-15,none,IDR 36936000: no eligible plan certified by 2025-10-04 while protecting minimum 24715800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_171,19.70,not_affordable,not_recommended,none,,none,EUR 1878.8: no eligible plan certified by 2026-09-10 while protecting minimum 500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_172,8012.48,affordable_with_plan,partial_payment,2024-06-05:8012.48|2024-06-15:2187.52,2024-06-15,none,ZAR 10200 via partial_payment; payments finish 2024-06-15; minimum 27200 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_173,56851.10,not_affordable,not_recommended,none,2026-01-15,none,INR 113000: no eligible plan certified by 2026-01-17 while protecting minimum 79100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_174,1018.34,not_affordable,not_recommended,none,,none,EUR 1146.2: no eligible plan certified by 2026-06-07 while protecting minimum 700 over 90 days.
request_175,0.00,not_affordable,not_recommended,none,,none,EUR 2346.3: no eligible plan certified by 2024-10-01 while protecting minimum 1700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_176,0.00,not_affordable,not_recommended,none,,none,EUR 1239.7: no eligible plan certified by 2025-02-27 while protecting minimum 600 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_177,0.00,not_affordable,not_recommended,none,,none,USD 1017.6: no eligible plan certified by 2026-01-25 while protecting minimum 1300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_178,2392.08,not_affordable,not_recommended,none,,none,EUR 2938.1: no eligible plan certified by 2025-02-12 while protecting minimum 1400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_179,6779147.80,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,IDR 41648000 via wait; payments finish 2025-07-15; minimum 41430800 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
